tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu
Casa,Vila Carlota,Rua do Dinar,83.0,3,2,1.0,2000,413.0,104.0
Casa,Mata do Jacinto,Rua Engenheiro Semi Ferzelli,90.0,4,1,1.0,2000,,100.0
Casa,Jardim Jacy,Rua Espanha,,2,2,5.0,2000,,
Casa,Vila Santo Eugênio,Rua Vinte e Três de Outubro,,3,2,3.0,2000,,113.0
Apartamento,Centro,Rua das Garças,55.0,1,1,1.0,2000,719.0,155.0
Casa,Jardim Montevidéu,Rua Itapiranga,63.0,3,2,1.0,2000,,92.0
Casa,Monte Castelo,Rua Antonina de Castro Faria,55.0,2,2,1.0,2030,,100.0
Apartamento,Jardim das Nações,Rua Luis Coutinho,40.0,2,1,1.0,2100,,
Apartamento,Tiradentes,Avenida Marquês de Pombal,50.0,2,1,1.0,2100,350.0,120.0
Casa,Vila Nasser,Rua Tenente Lira,250.0,4,2,6.0,2100,,173.0
Apartamento,Vila Carlota,Avenida Fábio Zahran,42.0,2,1,1.0,2150,400.0,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,54.0,2,1,1.0,2200,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45.0,2,1,1.0,2200,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45.0,2,1,1.0,2200,,
Casa,Parque Residencial Rita Vieira,Rua Maria Justina de Souza,,1,2,2.0,2200,100.0,
Apartamento,São Francisco,Rua Quatorze de Julho,45.0,2,1,1.0,2200,,
Casa,Vila Palmira,Rua Jerusalém,200.0,4,2,5.0,2200,,
Apartamento,Centro,Rua Rui Barbosa,69.0,3,2,1.0,2200,468.0,240.0
Casa,Estrela do Sul,Rua Aladim,165.0,2,2,2.0,2200,,
Casa,Parque dos Novos Estados,Rua Mirangaba,150.0,3,1,2.0,2200,,
Apartamento,Vila Margarida,Rua Rio Negro,61.0,1,2,1.0,2200,580.0,282.0
Casa,Coronel Antonino,Rua Doutor Meireles,50.0,2,1,1.0,2200,,105.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45.0,2,1,1.0,2200,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45.0,2,1,1.0,2200,,
Apartamento,Carandá Bosque,Rua Vicente Lopes Gondim,55.0,2,1,1.0,2200,200.0,100.0
Apartamento,Monte Castelo,Rua Eduardo Santos Pereira,120.0,2,2,1.0,2200,845.0,319.0
Apartamento,Parque Residencial Rita Vieira,Rua Mariza Andrade Ribeiro,49.0,2,1,1.0,2200,,
Apartamento,Loteamento Portobello,Rua do Latim,56.0,2,1,,2200,,
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,49.0,2,1,1.0,2200,,
Casa,Panorama,Rua Roraima,,1,3,,2200,,
Apartamento,São Francisco,Rua Sacramento,70.0,3,2,2.0,2200,437.0,197.0
Casa,Bairro Seminário,Rua Campanário,90.0,2,1,2.0,2200,,100.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45.0,2,1,1.0,2200,,
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,89.0,2,1,,2300,,
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,65.0,2,2,1.0,2300,252.0,
Casa,Parque dos Novos Estados,Rua dos Navegantes,80.0,2,1,2.0,2300,,
Casa,São Francisco,Rua Dois de Outubro,89.0,3,2,2.0,2300,,130.0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,53.0,2,2,1.0,2300,326.0,146.0
Apartamento,Monte Castelo,Rua José Alberto Pereira,70.0,3,2,1.0,2300,500.0,
Casa,Loteamento Rancho Alegre II,Rua Flora do Pantanal,100.0,2,2,,2350,,8.0
Apartamento,Centro,Rua Rui Barbosa,66.0,3,2,1.0,2380,470.0,230.0
Apartamento,São Francisco,Rua Quatorze de Julho,70.0,2,2,,2400,,
Casa,Vila Carlota,Rua do Dracma,110.0,3,2,2.0,2400,,
Casa,Centro,Rua das Garças,100.0,2,1,,2400,,337.0
Apartamento,Centro,Rua Rui Barbosa,70.0,3,2,1.0,2450,468.0,222.0
Apartamento,Vivendas do Parque,,55.0,2,1,1.0,2475,380.0,132.0
Apartamento,Monte Castelo,Avenida Rachid Neder,70.0,2,2,,2500,,
Casa,Monte Castelo,Rua Rio de Janeiro,120.0,3,3,3.0,2500,300.0,100.0
Casa,Jardim das Nações,Rua Ary Mattoso,102.0,2,3,2.0,2500,,105.0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,53.0,2,1,1.0,2500,280.0,125.0
Casa,Chácara Cachoeira,Rua Doutor Michel Scaff,112.0,2,2,2.0,2500,350.0,289.0
Apartamento,São Francisco,Rua Quatorze de Julho,66.0,3,2,1.0,2500,476.0,271.0
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,45.0,2,1,1.0,2500,250.0,100.0
Apartamento,Centro,Rua Quinze de Novembro,147.0,2,3,2.0,2500,1408.0,397.0
Casa,Parque Residencial Rita Vieira,Rua Enedina Pereira Ferreira,96.0,3,2,1.0,2500,,95.0
Apartamento,Tiradentes,Rua Rogério Cavalari,45.0,2,1,1.0,2500,,
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,70.0,2,1,1.0,2500,365.0,135.0
Casa,Vila Flório,,98.0,4,2,3.0,2500,,175.0
Casa,Jardim Jockey Club,Rua das Rosas,150.0,3,1,1.0,2500,,130.0
Casa,Loteamento Bela Laguna,Rua Gilson Mendes Silva,,3,2,3.0,2500,,104.0
Casa,Vila Alba,Rua Berilo,213.0,3,1,3.0,2500,,230.0
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,49.0,2,1,1.0,2500,,
Apartamento,Monte Castelo,Avenida Rachid Neder,73.0,2,2,1.0,2500,450.0,364.0
Apartamento,Tiradentes,Avenida Marquês de Pombal,47.0,1,2,1.0,2500,,
Casa,Jardim TV Morena,Travessa João Domingos,134.0,3,2,1.0,2500,50.0,
Casa,Jardim Tijuca,Rua Nhambiquara,152.0,3,2,4.0,2500,,157.0
Apartamento,São Francisco,Rua Quatorze de Julho,67.0,3,1,1.0,2550,480.0,200.0
Casa,Jardim Mansur,Rua Alice Barbosa Lopes,,3,2,2.0,2600,,
Apartamento,Mata do Jacinto,Rua Jamil Basmage,67.0,3,1,1.0,2650,330.0,89.0
Casa,Vila Planalto,Rua Udinese,86.0,3,2,2.0,2700,350.0,135.0
Casa,Vila Morumbi,Rua Assunção,72.0,3,1,2.0,2700,,
Apartamento,Jardim Veraneio,Rua Rio Doce,124.0,2,1,,2700,,
Casa,Coronel Antonino,Rua do Rosário,165.0,3,2,2.0,2700,,82.0
Apartamento,Bairro Seminário,Avenida Padre João Falco,109.0,3,2,1.0,2700,616.0,255.0
Casa,Parque Residencial Rita Vieira,Rua Ana Basília,74.0,3,2,1.0,2800,,110.0
Apartamento,São Francisco,Avenida Presidente Ernesto Geisel,70.0,3,2,1.0,2800,427.0,272.0
Casa,Coronel Antonino,Rua São Luís Gonzaga,75.0,3,2,1.0,2800,,144.0
Apartamento,Itanhangá Park,Avenida Rodolfo José Pinho,83.0,3,2,2.0,2800,480.0,360.0
Casa,Monte Castelo,Rua Jaguarão,150.0,3,3,5.0,2800,,292.0
Apartamento,Vila Margarida,Rua Rio Negro,77.0,3,2,2.0,2900,800.0,400.0
Apartamento,Vila Margarida,Rua Rio Negro,77.0,3,2,2.0,2900,800.0,400.0
Casa,Coopharádio,Rua Caldas Aulete,110.0,3,2,,2900,315.0,221.0
Apartamento,Vila Margarida,Rua Rio Negro,136.0,2,5,1.0,2900,868.0,396.0
Apartamento,Tiradentes,Avenida Marquês de Pombal,45.0,2,1,1.0,2950,,
Casa,São Francisco,Rua Quatorze de Julho,127.0,3,2,1.0,2980,840.0,245.0
Apartamento,Jardim dos Estados,,47.0,1,1,1.0,2998,600.0,328.0
Apartamento,Centro,Avenida Afonso Pena,372.0,4,6,2.0,3000,1965.0,617.0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,78.0,3,2,2.0,3000,300.0,156.0
Casa,Vila Sargento Amaral,Rua Canela,182.0,2,3,3.0,3000,,127.0
