tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu,eh_condo
Apartamento,Vila Albuquerque,Rua Doutor Werneck,66,3,2,1.0,1600,600.0,218.0,1
Apartamento,Vila Albuquerque,Rua Doutor Werneck,72,2,1,1.0,1600,566.0,185.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,50,2,1,1.0,1600,439.0,107.0,1
Apartamento,Mata do Segredo,Rua Brisas de Zaragoza,65,2,1,1.0,1600,0.0,0.0,0
Casa,Aero Rancho,Rua Carlos Drummond de Andrade,80,3,2,2.0,1650,0.0,0.0,0
Casa,Vivendas do Parque,Rua Joana Oliveira Chaves,66,1,2,3.0,1650,0.0,0.0,0
Apartamento,Amambaí,Rua Engenheiro Roberto Mange,65,3,1,1.0,1650,0.0,190.0,0
Casa,Pioneiros,Rua Euclides Costa,142,3,3,1.0,1700,0.0,0.0,0
Apartamento,Vila Carlota,Rua Spipe Calarge,107,3,1,1.0,1700,412.0,0.0,1
Casa,Parque Residencial União,Rua Modesto José dos Santos,50,2,2,2.0,1700,0.0,98.0,0
Casa,Los Angeles,Rua Antônio Luiz Pereira,135,2,1,1.0,1700,0.0,0.0,0
Apartamento,Vila Albuquerque,Rua Doutor Werneck,60,2,1,1.0,1700,500.0,185.0,1
Casa,Jardim Tijuca,Rua Apiaí,68,2,1,1.0,1700,350.0,112.0,1
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,40,2,1,1.0,1700,0.0,0.0,0
Apartamento,Santa Fé,Avenida Mato Grosso,60,2,1,1.0,1700,0.0,0.0,0
Apartamento,Vila Ipiranga,Rua Francisco Alves Castelo,60,1,1,1.0,1700,260.0,65.0,1
Apartamento,Lotemento Portobello,Rua do Latim,56,2,1,1.0,1700,280.0,126.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,50,2,1,1.0,1750,439.0,109.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,40,2,1,1.0,1800,0.0,0.0,0
Apartamento,Vila Albuquerque,Rua Doutor Werneck,66,3,1,1.0,1800,415.0,0.0,1
Casa,Vila Planalto,Rua Augusto Severo,111,4,2,2.0,1800,0.0,353.0,0
Apartamento,Monte Castelo,Rua Eduardo Santos Pereira,84,3,3,1.0,1800,800.0,190.0,1
